Date,Price,Open,High,Low,Vol.,Change %
2025-09-04,209654.070912,208030.14781999998,213741.877316,205846.25124800002,15390.0,0.2
2025-09-05,209234.090802,209038.100084,210606.025828,206182.23533599998,10120.0,-0.2
2025-09-08,215505.79377800002,207750.16108,216065.767258,206658.212794,15880.0,3.0
2025-09-09,213797.874664,216149.76327999998,220069.57764,213041.910466,14400.0,-0.79
2025-09-10,216653.739412,214357.84814400002,218221.665156,213545.886598,12050.0,1.34
2025-09-11,216205.76062800002,215701.78449599998,217661.691676,213965.86670800002,11410.0,-0.21
2025-09-12,229953.109562,229953.109562,229953.109562,229953.109562,18540.0,6.36
2025-09-15,242104.534078,236812.784692,238072.725022,236812.784692,20.0,5.28
2025-09-16,236448.80193,240060.63087599998,241516.561924,236308.80856,20.0,-2.34
2025-09-17,217577.695654,217577.695654,217577.695654,217577.695654,28920.0,-7.98
2025-09-18,216065.767258,216065.767258,216065.767258,216065.767258,18180.0,-0.69
2025-09-19,205230.28042,213797.874664,215253.80571199997,199490.55225,25300.0,-5.01
2025-09-22,205706.257878,206742.208816,207274.18362199998,201898.438214,12990.0,0.23
2025-09-23,196074.71402199997,204670.30694,206546.218098,195682.732586,25340.0,-4.68
2025-09-24,205930.24727,197054.667612,206490.22075,196522.692806,18070.0,5.03
2025-09-25,207946.151798,208030.14781999998,211893.964832,202290.41965,14510.0,0.98
2025-09-26,211697.974114,209990.055,215029.81631999998,208646.118648,14480.0,1.8
2025-09-29,208422.129256,213377.894554,217437.702284,207358.17964400002,14280.0,-1.55
2025-09-30,209906.05897800002,208982.102736,213181.90383599998,207470.17434,13060.0,0.71
2025-10-01,214973.81897199998,208506.12527800002,215449.79643,205286.277768,13230.0,2.41
2025-10-02,211725.972788,215729.78317,216261.757976,210046.052348,8360.0,-1.51
2025-10-03,218809.63731,214609.83621,219705.594878,213377.894554,12450.0,3.35
2025-10-06,213545.886598,215533.792452,218585.647918,211389.9887,13520.0,-2.41
