"Date,Price,Open,High,Low,Vol.,Change %,Gia_Viet_Nam"
"04/24/2025,398.8,384.0,399.8,381.45,14.88K,3.38%,230964.38989599998"
"04/23/2025,385.75,375.5,390.55,374.5,14.10K,3.49%,223406.50301499997"
"04/22/2025,372.75,366.55,375.5,362.5,11.58K,2.25%,215877.57355499998"
"04/21/2025,364.55,371.75,376.55,362.3,10.47K,-2.16%,211128.556511"
"04/17/2025,372.6,375.05,378.45,367.2,12.50K,-0.32%,215790.701292"
"04/16/2025,373.8,366.0,376.75,362.05,12.91K,1.81%,216485.679396"
"04/15/2025,367.15,360.8,370.4,360.8,19.85K,2.41%,212634.34240299996"
"04/14/2025,358.5,357.5,363.85,352.1,19.26K,0.22%,207624.70857"
"04/11/2025,357.7,345.95,360.7,341.6,23.38K,4.33%,207161.389834"
"04/10/2025,342.85,360.1,361.5,342.15,20.19K,0.34%,198561.03579700002"
"04/09/2025,341.7,341.15,353.75,325.2,28.74K,-0.35%,197895.01511399998"
"04/08/2025,342.9,345.0,350.15,340.5,25.85K,-0.55%,198589.993218"
"04/07/2025,344.8,362.5,364.5,338.6,37.08K,-5.72%,199690.375216"
"04/04/2025,365.7,386.55,389.35,364.9,24.92K,-5.07%,211794.57719399998"
"04/03/2025,385.25,386.4,391.0,376.9,16.45K,-0.93%,223116.92880499997"
"04/02/2025,388.85,389.05,393.7,382.15,13.89K,-0.05%,225201.863117"
"04/01/2025,389.05,379.25,391.45,372.25,18.43K,2.45%,225317.69280100003"
"03/31/2025,379.75,380.0,386.4,378.55,14.17K,-0.05%,219931.61249499998"
"03/28/2025,379.95,380.8,384.8,377.55,15.50K,0.30%,220047.44217899998"
"03/27/2025,378.8,392.0,392.1,375.6,21.79K,-3.37%,219381.421496"
"03/26/2025,392.0,400.0,405.4,388.55,14.38K,-1.64%,227026.18063999998"
"03/25/2025,398.55,393.45,401.0,392.1,12.35K,1.31%,230819.602791"
"03/24/2025,393.4,391.45,402.4,390.6,13.31K,0.51%,227836.988428"
"03/21/2025,391.4,392.0,395.75,386.5,12.38K,-0.19%,226678.69158799996"
"03/20/2025,392.15,389.3,397.6,386.05,14.04K,-0.62%,227113.05290299997"
"03/19/2025,394.6,394.15,394.15,394.1,0.02K,1.92%,228531.966532"
"03/18/2025,387.15,386.0,391.95,383.7,0.02K,-0.57%,224217.31080299997"
"03/17/2025,389.35,382.75,382.75,382.75,0.01K,1.90%,225491.437327"
"03/14/2025,382.1,382.1,382.1,382.1,16.67K,-0.93%,221292.61128200003"
"03/13/2025,385.7,388.8,391.7,377.05,18.70K,-0.27%,223377.54559400002"
"03/12/2025,386.75,394.0,396.4,383.15,17.15K,-1.78%,223985.65143499998"
"03/11/2025,393.75,384.7,395.5,382.0,13.05K,2.54%,228039.69037499998"
"03/10/2025,384.0,387.0,391.6,380.85,12.98K,-0.10%,222392.99328000002"
"03/07/2025,384.4,389.0,392.05,379.05,16.31K,-0.71%,222624.65264799996"
"03/06/2025,387.15,405.05,407.9,385.75,20.87K,-5.56%,224217.31080299997"
"03/05/2025,409.95,402.0,418.55,402.0,21.23K,2.90%,237421.89477900002"
"03/04/2025,398.4,389.85,401.55,385.6,19.50K,3.04%,230732.73052799996"
"03/03/2025,386.65,375.7,389.95,375.7,15.93K,3.65%,223927.736593"
"02/28/2025,373.05,374.9,379.05,369.7,12.80K,-0.15%,216051.318081"
"02/27/2025,373.6,371.6,382.65,369.05,12.18K,-0.43%,216369.849712"
"02/26/2025,375.2,372.8,377.55,366.3,14.59K,-0.19%,217296.48718400003"
"02/25/2025,375.9,384.8,385.8,370.25,19.95K,-2.31%,217701.891078"
"02/24/2025,384.8,389.25,392.4,380.2,14.26K,-1.14%,222856.31201600004"
"02/21/2025,389.25,390.0,394.0,383.85,16.85K,-0.17%,225433.522485"
"02/20/2025,389.9,410.2,410.2,386.85,29.23K,-5.34%,225809.96895799998"
"02/19/2025,411.9,411.0,424.5,409.45,24.49K,1.64%,238551.23419799996"
"02/18/2025,405.25,406.0,409.25,391.35,33.57K,-0.53%,234699.897205"
"02/14/2025,407.4,422.25,423.9,398.85,27.18K,-4.16%,235945.066308"
"02/13/2025,425.1,417.0,426.7,412.45,28.27K,1.17%,246195.993342"
"02/12/2025,420.2,405.95,421.15,405.3,28.36K,3.91%,243358.166084"
"02/11/2025,404.4,425.0,429.95,401.05,35.48K,-3.97%,234207.62104799997"
"02/10/2025,421.1,400.15,424.1,400.15,36.68K,4.14%,243879.39966200004"
"02/07/2025,404.35,403.25,413.95,399.95,25.61K,0.10%,234178.663627"
"02/06/2025,403.95,402.0,411.25,398.7,25.38K,1.56%,233947.004259"
"02/05/2025,397.75,385.9,401.1,381.6,26.19K,3.76%,230356.284055"
"02/04/2025,383.35,385.1,389.9,380.9,19.98K,0.64%,222016.546807"
"02/03/2025,380.9,375.85,388.95,373.4,25.16K,0.81%,220597.63317799996"
"01/31/2025,377.85,380.0,381.05,366.2,25.87K,1.19%,218831.23049699998"
"01/30/2025,373.4,368.0,376.85,365.35,20.67K,1.87%,216254.020028"
"01/29/2025,366.55,360.25,369.45,359.2,22.49K,2.53%,212286.853351"
